,context
0,"Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302) giới thiệu các khái niệm về thu thập yêu cầu, tìm nguồn cung ứng, đánh giá và tích hợp các thành phần vào một hệ thống thống nhất. Nội dung môn học bao gồm các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức. Sinh viên sẽ được trang bị kiến thức về quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng."
1,"Mã môn học của môn Toán cho Khoa học máy tính là CS115. Tóm tắt nội dung môn học như sau: Môn này cung cấp kiến thức về Toán ứng dụng trong các lĩnh vực như máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số."
2,"Môn Thực tập doanh nghiệp mang mã NT115, bao gồm chương trình thực tập cuối khóa tại các doanh nghiệp, cơ quan sự nghiệp trong lĩnh vực liên quan. Mục tiêu là cho sinh viên cơ hội trải nghiệm môi trường nghề nghiệp thực tế, làm quen với các công việc và tích lũy kinh nghiệm. Trong quá trình thực tập, sinh viên sẽ học hỏi từ các chuyên gia, trực tiếp xử lý các tình huống phát sinh trong phạm vi chuyên môn mà họ đã lựa chọn."
3,Cử nhân ngành Công nghệ Thông tin (Áp dụng từ Khoá 18 - 2023) ngành công nghệ thông tin việt nhật. Hình thức đào tạo: Chính quy tập trung. Số tín chỉ đào tạo: Tối thiểu 132 tín chỉ (bao gồm cả ngoại ngữ). Thời gian đào tạo: 04 năm (8 học kỳ chính).
4,"**Đoạn văn được viết lại:**

Môn học có mã NT505, mang tên Khóa luận tốt nghiệp, là một công trình nghiên cứu mang tính khoa học dành cho sinh viên theo đuổi chương trình cử nhân tài năng ngành An ninh Thông tin. Đề tài khóa luận phải được nghiên cứu và triển khai một cách chuyên sâu, thể hiện khả năng độc lập trong quá trình làm việc của sinh viên. Khóa luận cần làm rõ những vấn đề do sinh viên thực hiện dưới sự hướng dẫn của giảng viên, chẳng hạn như các ứng dụng, quy trình vận hành, hệ thống triển khai và đánh giá cùng định hướng phát triển tiếp theo của đề tài. Kết quả nghiên cứu do sinh viên thực hiện được nêu rõ trong khóa luận, đây là thành tố quan trọng nhất. Đối với đối tượng sinh viên trong chương trình đào tạo tài năng, đề tài khóa luận sẽ gắn liền với nhu cầu thực tế, được thực hiện dưới sự hướng dẫn của các giảng viên có trình độ Tiến sĩ trở lên. Đề tài nghiên cứu chuyên sâu này sẽ phản ánh khả năng nghiên cứu và làm việc độc lập của sinh viên."
5,"Môn học CE407 - Đồ án chuyên ngành Hệ thống nhúng và Robot dành cho sinh viên học chuyên đề tốt nghiệp. Đồ án này giúp sinh viên phát triển kỹ năng thiết kế hệ thống nhúng và robot. Sau khi hoàn thành môn học, sinh viên sẽ có kiến thức tổng hợp về chuyên ngành hệ thống nhúng và robot, kỹ năng tìm hiểu, nghiên cứu và giải quyết bài toán trong lĩnh vực hệ thống nhúng, kỹ thuật máy tính, cũng như kỹ năng thuyết trình, giao tiếp và làm việc nhóm. Môn học cũng khuyến khích thái độ làm việc tích cực trong lĩnh vực hệ thống nhúng."
6,"Môn học ""Phát triển và vận hành game"" với mã môn học là SE327, cung cấp những kiến thức cơ bản về quy trình tạo ra và quản lý một trò chơi trực tuyến. Nội dung học tập bao gồm các thể loại game từ bình thường, hành động, chiến lược cho đến nhập vai trực tuyến nhiều người chơi độc lập hoặc trên nền tảng mạng xã hội."
7,Cử nhân ngành Hệ thống Thông tin (Áp dụng từ khóa 18 - 2023) Hình thức đào tạo: Chính quy tập trung. Số tín chỉ đào tạo: Tối thiểu 134 (bao gồm cả ngoại ngữ) Thời gian đào tạo: 4 năm (8 học kỳ chính).
8,"Môn Nhập môn mạng máy tính với mã IT005 cung cấp kiến thức cơ bản về các khái niệm như mạng máy tính, truyền dữ liệu, dịch vụ mạng và kỹ thuật mạng không dây."
9,"Môn học CS221 về Xử lý ngôn ngữ tự nhiên nhằm cung cấp cho sinh viên những kiến thức cơ bản về chuyên ngành này, bao gồm văn phạm phi ngữ cảnh CFG, văn phạm DCG, cách cài đặt và giải thích cơ chế xử lý văn phạm DCG trên Prolog, và FSA."
